timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723809937412,46,Petición HTTP,200,OK,Open Model Thread Group 1-2325,text,true,,189,196,14,14,http://127.0.0.1:5000/,46,0,2
1723809937402,59,Petición HTTP,200,OK,Open Model Thread Group 1-2320,text,true,,189,196,13,13,http://127.0.0.1:5000/,59,0,2
1723809937404,60,Petición HTTP,200,OK,Open Model Thread Group 1-2321,text,true,,189,196,14,14,http://127.0.0.1:5000/,60,0,5
1723809937421,46,Petición HTTP,200,OK,Open Model Thread Group 1-2328,text,true,,189,196,15,15,http://127.0.0.1:5000/,46,0,2
1723809937399,69,Petición HTTP,200,OK,Open Model Thread Group 1-2317,text,true,,189,196,14,14,http://127.0.0.1:5000/,69,0,4
1723809937412,62,Petición HTTP,200,OK,Open Model Thread Group 1-2326,text,true,,189,196,14,14,http://127.0.0.1:5000/,62,0,3
1723809937402,74,Petición HTTP,200,OK,Open Model Thread Group 1-2319,text,true,,189,196,13,13,http://127.0.0.1:5000/,74,0,4
1723809937438,41,Petición HTTP,200,OK,Open Model Thread Group 1-2330,text,true,,189,196,12,12,http://127.0.0.1:5000/,41,0,2
1723809937414,65,Petición HTTP,200,OK,Open Model Thread Group 1-2327,text,true,,189,196,12,12,http://127.0.0.1:5000/,65,0,1
1723809937396,84,Petición HTTP,200,OK,Open Model Thread Group 1-2314,text,true,,189,196,10,10,http://127.0.0.1:5000/,84,0,4
1723809937445,37,Petición HTTP,200,OK,Open Model Thread Group 1-2331,text,true,,189,196,9,9,http://127.0.0.1:5000/,36,0,2
1723809937402,81,Petición HTTP,200,OK,Open Model Thread Group 1-2318,text,true,,189,196,8,8,http://127.0.0.1:5000/,81,0,6
1723809937408,76,Petición HTTP,200,OK,Open Model Thread Group 1-2324,text,true,,189,196,7,7,http://127.0.0.1:5000/,76,0,5
1723809937407,82,Petición HTTP,200,OK,Open Model Thread Group 1-2323,text,true,,189,196,8,8,http://127.0.0.1:5000/,82,0,5
1723809937471,20,Petición HTTP,200,OK,Open Model Thread Group 1-2336,text,true,,189,196,7,7,http://127.0.0.1:5000/,19,0,1
1723809937465,28,Petición HTTP,200,OK,Open Model Thread Group 1-2334,text,true,,189,196,6,6,http://127.0.0.1:5000/,28,0,1
1723809937464,31,Petición HTTP,200,OK,Open Model Thread Group 1-2333,text,true,,189,196,5,5,http://127.0.0.1:5000/,31,0,1
1723809937465,30,Petición HTTP,200,OK,Open Model Thread Group 1-2335,text,true,,189,196,4,4,http://127.0.0.1:5000/,30,0,1
1723809937464,34,Petición HTTP,200,OK,Open Model Thread Group 1-2332,text,true,,189,196,3,3,http://127.0.0.1:5000/,34,0,1
1723809937489,10,Petición HTTP,200,OK,Open Model Thread Group 1-2338,text,true,,189,196,2,2,http://127.0.0.1:5000/,10,0,2
1723809937489,11,Petición HTTP,200,OK,Open Model Thread Group 1-2337,text,true,,189,196,1,1,http://127.0.0.1:5000/,11,0,2
1723809937501,6,Petición HTTP,200,OK,Open Model Thread Group 1-2339,text,true,,189,196,2,2,http://127.0.0.1:5000/,6,0,2
1723809937501,6,Petición HTTP,200,OK,Open Model Thread Group 1-2340,text,true,,189,196,1,1,http://127.0.0.1:5000/,6,0,2
1723809937509,6,Petición HTTP,200,OK,Open Model Thread Group 1-2341,text,true,,189,196,4,4,http://127.0.0.1:5000/,5,0,1
